FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
5.52473E-4,5.88299,5.62818E-4,2.16614,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,9.6961E-7,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,7.00607,0.0,0.0,37.2795,0.0,1301.0,388186.0,
0.0327206,5.85038,0.033156,2.16614,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,2.33275E-6,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.81589,0.0,0.0,58.3128,0.0,1401.0,388186.0,
0.245161,5.61041,0.273123,2.16614,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,4.28794E-6,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.70906,0.0,0.0,74.8542,0.0,1501.0,388186.0,
0.578901,5.08184,0.801707,2.16614,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,6.18857E-6,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.64032,0.0,0.0,87.8631,0.0,1601.0,388186.0,
0.785493,4.44561,1.43793,2.16615,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,7.68343E-6,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.59299,0.0,0.0,98.0937,0.0,1701.0,388186.0,
0.83836,3.83089,2.05263,2.16615,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,8.82031E-6,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.55909,0.0,0.0,106.139,0.0,1801.0,388186.0,
0.801362,3.27926,2.60426,2.16615,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,9.71539E-6,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.53417,0.0,0.0,112.467,0.0,1901.0,388186.0,
0.725235,2.79785,3.08568,2.16615,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,1.04541E-5,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.51553,0.0,0.0,117.443,0.0,2001.0,388186.0,
0.63782,2.38283,3.50071,2.16615,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,1.10904E-5,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.50141,0.0,0.0,121.356,0.0,2101.0,388186.0,
0.55231,2.0272,3.85632,2.16615,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,1.16581E-5,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.49062,0.0,0.0,124.434,0.0,2201.0,388186.0,
0.474188,1.72349,4.16005,2.16615,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,1.21786E-5,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.48232,0.0,0.0,126.855,0.0,2301.0,388186.0,
0.405157,1.46461,4.41891,2.16615,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,1.26663E-5,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.4759,0.0,0.0,128.758,0.0,2401.0,388186.0,
0.345237,1.24423,4.6393,2.16615,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,1.31309E-5,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.47092,0.0,0.0,130.255,0.0,2501.0,388186.0,
0.293717,1.05678,4.82676,2.16615,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,1.3579E-5,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.46704,0.0,0.0,131.433,0.0,2601.0,388186.0,
0.24966,0.897417,4.98611,2.16615,26995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14016E-23,1.40155E-5,26995.6,0.0,0.0,0.0,1.0,1.7375999999999998E-21,0.0,0.0,6.46402,0.0,0.0,132.358,0.0,2701.0,388186.0,
4.55928E-4,4.85494,0.21222,5.37743,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0104086,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,7.00993,0.0,0.0,56.3835,0.0,3101.0,587113.0,
0.0270027,4.82801,0.239032,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0104951,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.81838,0.0,0.0,88.1955,0.0,3201.0,587113.0,
0.202319,4.63,0.437061,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0105012,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.711,0.0,0.0,113.214,0.0,3301.0,587113.0,
0.477737,4.19377,0.873272,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0105036,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.64198,0.0,0.0,132.889,0.0,3401.0,587113.0,
0.648232,3.66872,1.39831,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0105052,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.59448,0.0,0.0,148.362,0.0,3501.0,587113.0,
0.691854,3.16144,1.9056,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0105062,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.56047,0.0,0.0,160.531,0.0,3601.0,587113.0,
0.66952,2.77805,2.28899,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0105069,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.53914,0.0,0.0,168.661,0.0,3701.0,587113.0,
0.610046,2.3712,2.69584,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0105076,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.51954,0.0,0.0,176.495,0.0,3801.0,587113.0,
0.538464,2.01994,3.0471,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0105082,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.50472,0.0,0.0,182.656,0.0,3901.0,587113.0,
0.467203,1.71872,3.34832,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0105087,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.49341,0.0,0.0,187.501,0.0,4001.0,587113.0,
0.40156,1.46136,3.60568,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0105092,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.48472,0.0,0.0,191.311,0.0,4101.0,587113.0,
0.343319,1.24193,3.82512,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0105096,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.478,0.0,0.0,194.308,0.0,4201.0,587113.0,
0.292647,1.05511,4.01193,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.01051,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.47279,0.0,0.0,196.665,0.0,4301.0,587113.0,
0.249026,0.896175,4.17085,5.37754,36492.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8731E-23,0.0105104,36492.3,0.0,0.0,0.0,1.0,2.6375799999999997E-21,0.0,0.0,6.46874,0.0,0.0,198.518,0.0,4401.0,587113.0,
