entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.463,0.2779,0.05411,0.01193,0.008016,0.04717,0.02351,0.01285,0.01673,0.01456,0.01487,0.3948,0.4014,
1.463,0.2722,0.05403,0.01193,0.008015,0.04717,0.02358,0.01259,0.01672,0.01456,0.01487,0.395,0.4016,
1.462,0.2646,0.05397,0.01193,0.008015,0.04706,0.0237,0.01248,0.01673,0.01456,0.01487,0.3951,0.4016,
1.461,0.254,0.05398,0.01193,0.008016,0.04693,0.02371,0.0123,0.01672,0.01456,0.01487,0.3951,0.4019,
1.475,0.2453,0.06079,0.01191,0.008012,0.04685,0.02363,0.01227,0.01671,0.01455,0.01537,0.395,0.3949,
1.475,0.2371,0.06079,0.01191,0.008012,0.04682,0.02366,0.01224,0.01671,0.01455,0.01537,0.395,0.3949,
1.478,0.236,0.06089,0.01189,0.008005,0.04669,0.0237,0.0121,0.0167,0.01454,0.01625,0.3947,0.3945,
1.477,0.2369,0.06089,0.01188,0.008006,0.04661,0.02355,0.01203,0.0167,0.01454,0.01625,0.3948,0.3947,
1.478,0.2469,0.06106,0.01188,0.008001,0.04653,0.02335,0.01195,0.01669,0.01454,0.01693,0.3946,0.3945,
1.479,0.2352,0.06117,0.01187,0.007995,0.04648,0.02313,0.01186,0.01668,0.01453,0.01764,0.3943,0.3944,
1.479,0.2408,0.06117,0.01187,0.007996,0.04645,0.02305,0.01175,0.01667,0.01453,0.01764,0.3943,0.3946,
1.478,0.2413,0.061,0.01181,0.007993,0.04645,0.02305,0.01163,0.01666,0.01453,0.01764,0.3943,0.3949,
1.475,0.2401,0.05975,0.0118,0.007994,0.04636,0.02302,0.01162,0.01666,0.01453,0.01764,0.3945,0.3962,
1.472,0.2305,0.05857,0.01172,0.007993,0.04629,0.02301,0.01159,0.01666,0.01453,0.01765,0.3946,0.3974,
1.47,0.2222,0.05734,0.01171,0.007992,0.04627,0.02305,0.01156,0.01666,0.01454,0.01765,0.3946,0.3986,
1.465,0.2239,0.05522,0.01155,0.007977,0.04613,0.02304,0.01152,0.01667,0.01454,0.01765,0.3947,0.401,
1.461,0.231,0.05398,0.01154,0.007978,0.04605,0.02288,0.01148,0.01667,0.01454,0.01765,0.3947,0.4025,
1.458,0.2291,0.05256,0.0115,0.007975,0.04604,0.02278,0.01147,0.01667,0.01454,0.01766,0.3948,0.404,
