RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
8222000.0,1813000.0,1218000.0,7169000.0,3573000.0,1952000.0,2542000.0,2212000.0,2260000.0,6.0E7,6.1E7,
8213000.0,1812000.0,1218000.0,7169000.0,3582000.0,1942000.0,2542000.0,2212000.0,2260000.0,6.003E7,6.1E7,
8195000.0,1809000.0,1218000.0,7164000.0,3601000.0,1924000.0,2542000.0,2212000.0,2260000.0,6.003E7,6.1E7,
8195000.0,1809000.0,1218000.0,7159000.0,3595000.0,1901000.0,2542000.0,2212000.0,2260000.0,6.003E7,6.103E7,
8182000.0,1807000.0,1218000.0,7143000.0,3617000.0,1872000.0,2540000.0,2212000.0,2260000.0,6.003E7,6.104E7,
9182000.0,1795000.0,1218000.0,7129000.0,3635000.0,1841000.0,2540000.0,2212000.0,2304000.0,6.003E7,6.001E7,
9185000.0,1786000.0,1217000.0,7120000.0,3644000.0,1831000.0,2539000.0,2211000.0,2440000.0,6.003E7,5.998E7,
9176000.0,1785000.0,1217000.0,7111000.0,3644000.0,1818000.0,2538000.0,2211000.0,2440000.0,6.003E7,6.0E7,
9175000.0,1783000.0,1217000.0,7099000.0,3623000.0,1800000.0,2536000.0,2211000.0,2440000.0,6.003E7,6.004E7,
9166000.0,1783000.0,1217000.0,7094000.0,3605000.0,1794000.0,2535000.0,2211000.0,2440000.0,6.003E7,6.006E7,
9239000.0,1778000.0,1217000.0,7089000.0,3630000.0,1769000.0,2535000.0,2211000.0,2602000.0,6.003E7,5.999E7,
9050000.0,1753000.0,1216000.0,7070000.0,3616000.0,1764000.0,2535000.0,2211000.0,2602000.0,6.003E7,6.02E7,
8919000.0,1750000.0,1216000.0,7053000.0,3580000.0,1761000.0,2533000.0,2211000.0,2602000.0,6.003E7,6.037E7,
9326000.0,1745000.0,1216000.0,7035000.0,3587000.0,1741000.0,2532000.0,2211000.0,2699000.0,5.998E7,5.995E7,
9267000.0,1740000.0,1215000.0,7001000.0,3602000.0,1719000.0,2531000.0,2211000.0,2735000.0,5.999E7,6.002E7,
9130000.0,1729000.0,1215000.0,6988000.0,3557000.0,1717000.0,2530000.0,2211000.0,2735000.0,6.003E7,6.019E7,
9379000.0,1703000.0,1211000.0,6978000.0,3530000.0,1702000.0,2530000.0,2211000.0,2808000.0,6.003E7,6.001E7,
9407000.0,1679000.0,1205000.0,6973000.0,3525000.0,1690000.0,2528000.0,2211000.0,2906000.0,6.003E7,6.001E7,
9209000.0,1674000.0,1205000.0,6958000.0,3540000.0,1675000.0,2528000.0,2211000.0,2906000.0,6.003E7,6.019E7,
8984000.0,1641000.0,1202000.0,6943000.0,3508000.0,1666000.0,2525000.0,2211000.0,2906000.0,6.003E7,6.049E7,
9390000.0,1638000.0,1202000.0,6933000.0,3504000.0,1659000.0,2522000.0,2211000.0,2954000.0,6.003E7,6.007E7,
9497000.0,1630000.0,1194000.0,6919000.0,3474000.0,1646000.0,2519000.0,2211000.0,2973000.0,6.003E7,6.001E7,
9282000.0,1627000.0,1193000.0,6910000.0,3421000.0,1644000.0,2517000.0,2209000.0,2971000.0,6.003E7,6.027E7,
9217000.0,1625000.0,1193000.0,6900000.0,3428000.0,1625000.0,2514000.0,2209000.0,2970000.0,6.003E7,6.033E7,
9447000.0,1619000.0,1192000.0,6892000.0,3420000.0,1620000.0,2513000.0,2209000.0,3109000.0,5.989E7,6.012E7,
9261000.0,1611000.0,1192000.0,6882000.0,3377000.0,1620000.0,2513000.0,2209000.0,3109000.0,6.003E7,6.033E7,
9581000.0,1605000.0,1190000.0,6855000.0,3361000.0,1610000.0,2513000.0,2209000.0,3142000.0,6.0E7,6.002E7,
9545000.0,1599000.0,1187000.0,6831000.0,3334000.0,1598000.0,2512000.0,2208000.0,3175000.0,6.003E7,6.009E7,
9409000.0,1591000.0,1187000.0,6798000.0,3338000.0,1586000.0,2512000.0,2208000.0,3175000.0,6.003E7,6.021E7,
9598000.0,1581000.0,1180000.0,6794000.0,3325000.0,1577000.0,2512000.0,2208000.0,3216000.0,5.999E7,6.003E7,
9566000.0,1580000.0,1180000.0,6783000.0,3317000.0,1575000.0,2510000.0,2208000.0,3286000.0,5.996E7,6.004E7,
9492000.0,1587000.0,1182000.0,6774000.0,3315000.0,1560000.0,2500000.0,2236000.0,3346000.0,6.003E7,6.012E7,
9491000.0,1573000.0,1183000.0,6770000.0,3307000.0,1578000.0,2476000.0,2252000.0,3339000.0,6.003E7,6.013E7,
9281000.0,1568000.0,1183000.0,6773000.0,3295000.0,1570000.0,2475000.0,2283000.0,3301000.0,6.003E7,6.034E7,
9289000.0,1570000.0,1179000.0,6761000.0,3293000.0,1561000.0,2465000.0,2308000.0,3417000.0,6.0E7,6.1E7,
9020000.0,1577000.0,1182000.0,6732000.0,3293000.0,1567000.0,2458000.0,2332000.0,3386000.0,6.003E7,6.128E7,
1.03E7,1571000.0,1181000.0,6724000.0,3298000.0,1562000.0,2455000.0,2327000.0,3473000.0,6.003E7,5.999E7,
1.021E7,1576000.0,1182000.0,6751000.0,3294000.0,1558000.0,2439000.0,2344000.0,3739000.0,6.0E7,6.1E7,
1.113E7,1585000.0,1181000.0,6774000.0,3290000.0,1561000.0,2432000.0,2350000.0,3753000.0,6.003E7,6.002E7,
1.113E7,1583000.0,1180000.0,6775000.0,3285000.0,1571000.0,2412000.0,2397000.0,3853000.0,6.003E7,5.997E7,
1.108E7,1583000.0,1180000.0,6801000.0,3265000.0,1561000.0,2412000.0,2453000.0,3961000.0,5.997E7,6.0E7,
1.088E7,1589000.0,1181000.0,6786000.0,3281000.0,1551000.0,2405000.0,2453000.0,4069000.0,6.003E7,6.019E7,
1.078E7,1593000.0,1183000.0,6778000.0,3281000.0,1564000.0,2392000.0,2463000.0,4042000.0,6.003E7,6.026E7,
1.109E7,1586000.0,1183000.0,6775000.0,3259000.0,1560000.0,2383000.0,2474000.0,4149000.0,6.003E7,5.996E7,
1.094E7,1596000.0,1181000.0,6751000.0,3251000.0,1559000.0,2368000.0,2502000.0,4159000.0,6.003E7,6.013E7,
1.072E7,1587000.0,1183000.0,6763000.0,3256000.0,1552000.0,2372000.0,2553000.0,4085000.0,6.003E7,6.033E7,
1.056E7,1590000.0,1178000.0,6761000.0,3300000.0,1514000.0,2373000.0,2546000.0,4085000.0,6.003E7,6.046E7,
1.072E7,1588000.0,1170000.0,6767000.0,3304000.0,1514000.0,2362000.0,2598000.0,4195000.0,6.003E7,6.027E7,
1.099E7,1594000.0,1173000.0,6759000.0,3295000.0,1525000.0,2351000.0,2623000.0,4215000.0,5.998E7,5.998E7,
1.081E7,1597000.0,1175000.0,6754000.0,3772000.0,1041000.0,2355000.0,2617000.0,4215000.0,6.003E7,6.013E7,
